>60, 5/10, d=0.699, g=0.790
>60, 6/10, d=0.649, g=0.771
>60, 7/10, d=0.676, g=0.663
>60, 8/10, d=0.674, g=0.730
>60, 9/10, d=0.632, g=0.775
>60, 10/10, d=0.646, g=0.726
>Accuracy real: 25%, fake: 100%
>61, 1/10, d=0.643, g=0.685
>61, 2/10, d=0.670, g=0.770
>61, 3/10, d=0.605, g=0.806
>61, 4/10, d=0.651, g=0.827
>61, 5/10, d=0.658, g=0.650
>61, 6/10, d=0.654, g=0.756
>61, 7/10, d=0.645, g=0.799
>61, 8/10, d=0.668, g=0.733
>61, 9/10, d=0.687, g=0.758
>61, 10/10, d=0.629, g=0.775
>62, 1/10, d=0.620, g=0.813
>62, 2/10, d=0.629, g=0.828
>62, 3/10, d=0.682, g=0.848
>62, 4/10, d=0.678, g=0.815
>62, 5/10, d=0.619, g=0.863
>62, 6/10, d=0.692, g=0.854
>62, 7/10, d=0.762, g=0.735
>62, 8/10, d=0.763, g=0.805
>62, 9/10, d=0.723, g=0.921
>62, 10/10, d=0.706, g=0.949
>63, 1/10, d=0.733, g=0.834
>63, 2/10, d=0.703, g=0.830
>63, 3/10, d=0.695, g=0.893
>63, 4/10, d=0.695, g=0.836
>63, 5/10, d=0.683, g=0.917
>63, 6/10, d=0.715, g=0.908
>63, 7/10, d=0.738, g=0.835
>63, 8/10, d=0.643, g=0.788
>63, 9/10, d=0.635, g=0.780
>63, 10/10, d=0.710, g=0.755
>64, 1/10, d=0.683, g=0.736
>64, 2/10, d=0.644, g=0.681
>64, 3/10, d=0.679, g=0.681
>64, 4/10, d=0.670, g=0.688
>64, 5/10, d=0.659, g=0.649
>64, 6/10, d=0.632, g=0.621
>64, 7/10, d=0.606, g=0.658
>64, 8/10, d=0.678, g=0.673
>64, 9/10, d=0.581, g=0.620
>64, 10/10, d=0.597, g=0.658
>65, 1/10, d=0.618, g=0.625
>65, 2/10, d=0.615, g=0.644
>65, 3/10, d=0.655, g=0.687
>65, 4/10, d=0.655, g=0.687
>65, 5/10, d=0.616, g=0.718
>65, 6/10, d=0.626, g=0.937
>65, 7/10, d=0.704, g=0.943
>65, 8/10, d=0.655, g=0.917
>65, 9/10, d=0.686, g=0.984
>65, 10/10, d=0.769, g=0.915
>66, 1/10, d=0.639, g=0.964
>66, 2/10, d=0.673, g=0.835
